siren,count,nom,address,cp,Coordonnee X,Coordonnee Y,Latitude,Longitude
100700004.0,2,RECAPE CECILE,21 avenue frizac,31190,570279.2,6245451.7,43.29642098772211,1.4022745203261018
101300002.0,1,RODRIGUE BLON,5 rue des vaureitres,49170,421549.9,6703786.3,47.375825667060134,-0.6914868728485635
101600005.0,1,RPI 113,9 rue de saint omer,62960,651379.7,7049400.8,50.53994322578218,2.315209071603737
101900009.0,1,PROFESSEUR DES ÉCOLES,570 rue beer sheva,69009,839238.5,6522542.1,45.788275358195456,4.792369439711244
102300001.0,2,RPC HUCHENNEVILLE,rue de rosières,80132,613832.5,6966688.4,49.79877685664972,1.7979872133442092
123456789.0,5,RPI CHASSAL MOLINGES,4 bis rue des ecoles,39360,912695.1,6587583.8,46.35464125870707,5.7666411641416015
131000687.0,1,RAJON,rue jean giono,13111,881921.1,6275708.6,43.557105385988606,5.250981949954486
192100378.0,1,PRINCIPALE,place de pfeddersheim,21340,824490.3,6651206.1,46.94944414693162,4.63690682719342
197621972.0,1,CDI DU COLLEGE JEAN DELACOUR,830 rue spalikowski,76690,564100.2,6946314.5,49.60147860398098,1.1207920202430337
198600538.0,2,CAMILLE CLAUDEL,rue henri dunant,86400,491125.7,6563892.2,46.14262354897654,0.293576942188264
200021269.0,2,POLE ENERGIE FRANCHE-COMTE,rue pierre mendes france,70400,982732.1,6725956.8,47.57333032689825,6.762163787640447
200062149.0,1,28° COLLEGE,3 avenue georges freche,11200,680440.6,6231728.9,43.18451885582123,2.759576306632732
211001078.0,2,MAIRIE DE COUVIGNON,place de la mairie,10200,822584.4,6790950.2,48.2073749995544,4.650249858196214
211001086.0,2,MAIRIE DE CRANCEY,30 rue de faverolles,10100,747464.7,6824228.8,48.51656488762761,3.642702923344732
211001144.0,2,MAIRIE DE CUSSANGY,rue des cannes,10210,782247.2,6769084.6,48.01697545669737,4.103200374279603
211001599.0,2,MAIRIE DE LES GRANDES CHAPELLES,place de la mairie,10170,775253.0,6818659.7,48.46383929837123,4.017968454867951
211001714.0,11,MAIRIE DE JESSAINS,2 rue st nicolas,10140,816997.5,6800789.4,48.29691296611136,4.577704812354508
211001896.0,4,MAIRIE DE LIGNIERES,2 grande rue,10130,772086.5,6761630.3,47.951096330351156,3.9657044006513167
211001987.0,2,MAIRIE DE LONGPRE LE SEC,place de la mairie,10140,808889.8,6788144.0,48.184560620779045,4.4652351440304905
211001995.0,4,MAIRIE DE LONGSOLS,35 rue basse,10240,795261.4,6815267.7,48.43069905972933,4.287836431787071
211002019.0,2,MAIRIE DE LA LOUPTIERE THENARD,1 rue de la mairie,10400,732105.7,6809737.4,48.38714124591473,3.4336596239444668
211002217.0,1,MAIRIE DE MATHAUX,rue de l'ecole,10500,809377.8,6809027.5,48.37234368728392,4.477056137764476
211002407.0,1,RPI MACEY-MONTGUEUX-GRANGE L'EVEQUE,1 rue de la mairie,10300,770953.6,6800979.2,48.30526903835536,3.956916889270991
211002423.0,4,MAIRIE DE MONTIER EN L'ISLE,grande rue,10200,823350.8,6796827.0,48.2600964391795,4.662229397911184
211002431.0,1,MAIRIE DE MONTIGNY LES MONTS,1 rue du pilori,10130,770436.4,6778548.7,48.103512758566225,3.946317120162136
211002696.0,1,MAIRIE DE PALIS,2 place gambetta,10190,752517.7,6798880.6,48.28813705993352,3.70804271416048
211003066.0,2,MAIRIE DE RHEGES,grande rue,10170,773589.3,6827922.7,48.54735227152327,3.9970476346227666
211003140.0,4,MAIRIE DE ROSIERES,place charles de gaulle,10430,779066.5,6795703.7,48.25687009451526,4.0653646238241015
211003561.0,4,MAIRIE DE LA SAULSOTTE,10 rue pavee,10400,736978.5,6827058.6,48.54270339707745,3.500960392884563
211101050.0,1,MAIRIE DE COURNANEL,rue de la mairie,11300,631399.4,6225429.5,43.124834630621116,2.157618449663193
211101191.0,7,MAIRIE DE LA DIGNE D'AMONT,rue de la mairie,11300,631399.4,6225429.5,43.124834630621116,2.157618449663193
211101241.0,3,MAIRIE DE DURBAN-CORBIERES,rue de la mairie,11360,684788.7,6210743.2,42.995876930649366,2.8136316535792756
211101480.0,1,MAIRIE DE FONTCOUVERTE,7 avenue de l'estagnol,11700,674776.1,6229964.1,43.168467390208384,2.6900341931047604
211101530.0,3,MAIRIE DE LA FORCE,2 rue de l'ecole,11270,626263.0,6233185.8,43.19408398150775,2.0934579206060446
211101811.0,2,MAIRIE DE LABECEDE LAURAGNAIS,rue de la mairie,11400,608919.2,6246520.3,43.3120184266804,1.8779251593335635
211102090.0,1,MAIRIE DE LUC S AUDE,14 rue du pressoir,11190,640292.1,6206966.1,42.95958400486924,2.2689087872851466
211102355.0,3,MAIRIE DE MISSEGRE,28 rue de la mairie,11580,648787.5,6211766.6,43.003412078900716,2.3724585331664603
211102538.0,2,MAIRIE DE MONTOLIEU,rue de la mairie,11170,636269.0,6245945.8,43.30982185780263,2.214905895485273
211102651.0,3,MAIRIE DE FIXIN,21 route des grands crus,21220,849338.0,6684724.1,47.24601607940955,4.974520226955592
211102744.0,2,MAIRIE DE PAULIGNE,place de la mairie,11300,631534.0,6219549.2,43.07196191278283,2.160039219071844
211103239.0,6,MAIRIE DE ROQUETAILLADE,1 place de la mairie,11300,634662.5,6210872.5,42.99422268174044,2.1994969804968854
211300447.0,1,MAIRIE DE GRANS,boulevard victor jauffret,13450,866780.2,6280938.8,43.60786971173301,5.0654192014300365
211300553.0,1,: ECOLE PRIMAIRE PUBLIQUE EOURES,22 boulevard notre dame,13011,904538.5,6247902.7,43.30091661400405,5.519680837220583
211300946.0,1,MAIRIE DE PELISSANNE,parc roux de brignoles,13330,873742.6,6283770.3,43.63166478991381,5.152555944271167
211403183.0,3,MAIRIE DE GRAYE SUR MER,36 rue grande,14470,447641.0,6919948.1,49.329166340692616,-0.4719687138298801
211404090.0,1,MAIRIE DE MERVILLE-FRANCEVILLE PLAGE,avenue alexandre de lavergne,14810,467600.6,6912717.2,49.27179395499548,-0.19365463695560087
211501531.0,7,MAIRIE DE PLEAUX,place georges pompidou,15700,639176.1,6448546.3,45.13352176039853,2.226260571716915
211601075.0,1,MAIRIE DE COULGENS,rue du docteur louis ferrand,16560,489268.1,6527064.4,45.810613700466654,0.28592183146847205
211601091.0,1,MAIRIE DE COURBILLAC,grand'rue,16200,453013.9,6523791.7,45.7689845747246,-0.1788431160689079
211601448.0,18,MAIRIE DE FOUQUEURE,place de la mairie,16140,473126.0,6535678.2,45.88294076842538,0.07409728718914649
211602008.0,3,MAIRIE DE MAINE DE BOIXE,28 rue principale,16230,481031.6,6531916.9,45.851683586621505,0.17769724974953727
211701263.0,5,MAIRIE DE COURCERAC,21 rue de matha,17160,439098.2,6532522.7,45.84235007891616,-0.36251759228066216
211701297.0,3,MAIRIE DE COURPIGNAC,44 rue principale,17130,426787.4,6475462.4,45.32421325015039,-0.4885083027294961
211702642.0,3,MAIRIE DE NIEUL-SUR-MER,rue de beauregard,17137,379288.1,6576125.7,46.20889936482625,-1.1616592487613806
211702659.0,1,MAIRIE DE NIEULLE SUR SEUDRE,place de la mairie,17600,388979.0,6524930.8,45.753019276766395,-1.00248320025778
211801014.0,1,MAIRIE DE GERMIGNY-L'EXEMPT,3 place de la mairie,18150,692263.4,6646266.5,46.91654344254474,2.898341561004957
211801337.0,2,MAIRIE DE LUNERY,place jacques georges,18400,644434.2,6648675.4,46.93596318012974,2.269596503343605
211801394.0,4,MAIRIE DE MARSEILLES-LES-AUBIGNY,3 rue du port,18320,701046.9,6663000.6,47.06725146849856,3.0137946214267703
211801790.0,1,MAIRIE DE PIGNY,rue de la mairie,18110,657947.5,6674660.6,47.170896610540225,2.444818358346647
